37;name;condition;state;0.7288655
43;name;condition;state;0.46290255
80;name;condition;state;0.3679282
13;name;condition;state;0.74359596
57;name;condition;state;0.55099684
43;name;condition;state;0.41250032
95;name;condition;state;0.7069245
65;name;condition;state;0.75770587
65;name;condition;state;0.21859235
14;name;condition;state;0.09610474
79;name;condition;state;0.1742943
80;name;condition;state;0.17091155
32;name;condition;state;0.8670417
94;name;condition;state;0.22420353
73;name;condition;state;0.59201753
78;name;condition;state;0.18283248
43;name;condition;state;0.76538277
6;name;condition;state;0.96723515
100;name;condition;state;0.37103534
8;name;condition;state;0.59352064
82;name;condition;state;0.40594584
63;name;condition;state;0.7219595
71;name;condition;state;0.06412244
67;name;condition;state;0.6991523
74;name;condition;state;0.01534456
11;name;condition;state;0.3917657
22;name;condition;state;0.7810348
42;name;condition;state;0.44122696
63;name;condition;state;0.5722939
10;name;condition;state;0.0507496
84;name;condition;state;0.26261866
92;name;condition;state;0.43916708
5;name;condition;state;0.7574807
17;name;condition;state;0.18340552
24;name;condition;state;0.20283347
58;name;condition;state;0.0466699
87;name;condition;state;0.95389724
33;name;condition;state;0.18477124
58;name;condition;state;0.5090243
49;name;condition;state;0.9718805
44;name;condition;state;0.19929081
86;name;condition;state;0.45424652
61;name;condition;state;0.74773026
77;name;condition;state;0.20085067
43;name;condition;state;0.62946784
9;name;condition;state;0.5401226
7;name;condition;state;0.35537028
9;name;condition;state;0.13280576
55;name;condition;state;0.918883
100;name;condition;state;0.43818295
25;name;condition;state;0.18424284
90;name;condition;state;0.73416686
98;name;condition;state;0.7589405
55;name;condition;state;0.5619978
72;name;condition;state;0.2227264
50;name;condition;state;0.75633353
42;name;condition;state;0.08840275
65;name;condition;state;0.7053201
87;name;condition;state;0.96311283
98;name;condition;state;0.6717832
9;name;condition;state;0.8120427
43;name;condition;state;0.39911407
50;name;condition;state;0.13501996
50;name;condition;state;0.42621732
86;name;condition;state;0.09551841
86;name;condition;state;0.38098782
72;name;condition;state;0.22134495
79;name;condition;state;0.59725076
65;name;condition;state;0.21115714
56;name;condition;state;0.8825663
21;name;condition;state;0.22210532
85;name;condition;state;0.10027361
9;name;condition;state;0.55611265
44;name;condition;state;0.21658999
